Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
trickiigaming,https://www.nitrotype.com/racer/trickiigaming,aerith,Drift King,265,40,92.45759852783316,252,34763.052806018786,94.33751965447922,TVX
sammonq,https://www.nitrotype.com/racer/sammonq,Join Math Team4 cash,League Champion,107,200,110.75523760858457,231,34744.330364693385,96.80181593371103,N8TE
yehudahe,https://www.nitrotype.com/racer/yehudahe,-_-Admired-_-,♪ So Delightful ♪,51,180,63.018050541516246,370,34714.83222366848,71.34405466211149,DB35T
534c02d827a6dc13eb20a10ba6d6e5d4,https://www.nitrotype.com/racer/534c02d827a6dc13eb20a10ba6d6e5d4,Tommy Flash,Mystery Man,340,160,53.18408596648331,293,34711.49068430018,93.58348968105065,XMVP
codeninjas2934,https://www.nitrotype.com/racer/codeninjas2934,H4wkFor_Life,Where's the remote?,58,160,79.34243214230946,257,34693.324553347025,96.6508952593005,AMPX
imaginelosing1st,https://www.nitrotype.com/racer/imaginelosing1st,Bestperez,Santa’s Lil’ Helper,338,20,28.88555891238671,328,34657.72516135667,92.32893217531,NCT
ad4ca61c5d3693b39d5773376e4137ff,https://www.nitrotype.com/racer/ad4ca61c5d3693b39d5773376e4137ff,ITSMEÑÄMMLESS¿¿?,I Have Fans!,89,280,64.43171355498721,313,34642.02815915983,83.70963132323521,NWH
samik_k7,https://www.nitrotype.com/racer/samik_k7,samikk_22,Motorcycle Maniac,239,180,63.43765641101133,276,34604.04845475994,95.18531926150762,NTO
817363728282,https://www.nitrotype.com/racer/817363728282,81736328282,Solid Gold,228,0,39.511093810821336,317,34592.01927083614,91.12153215636822,SEDYKO
flow_money69,https://www.nitrotype.com/racer/flow_money69,flowwww,Epic Nitro User,309,0,65.43917169974115,276,34583.76603772177,94.41221454564632,DCPTCN
why11122,https://www.nitrotype.com/racer/why11122,a username,Yuletide Spirit,49,0,33.49166962070188,325,34560.99308560659,91.08806096528366,SSME
e28560573d467675fd4f80ecb7308576,https://www.nitrotype.com/racer/e28560573d467675fd4f80ecb7308576,getbetter1234,Big Spender,379,0,25.069278200943057,320,34504.28353395278,95.81573007697205,FERAL
0ef5d7d3dfcdb61cc745b3003ed4f648,https://www.nitrotype.com/racer/0ef5d7d3dfcdb61cc745b3003ed4f648,TOFASTMCQUEEN,I Hate Words,115,0,29.49849347171075,350,34462.80150855268,85.80897040130743,LEGNDS
cffe6b63761b685f0217793ac54c5dbe,https://www.nitrotype.com/racer/cffe6b63761b685f0217793ac54c5dbe,Clock is him,Master Motorist,259,160,62.64894539150535,281,34364.62883325243,93.12358182522551,RI5E
bfb3906405d25925710feb691d72e4a6,https://www.nitrotype.com/racer/bfb3906405d25925710feb691d72e4a6,mexicafood,Pro Pacer,338,0,32.95037593984962,340,34281.427954417166,86.56584379475946,PAND96
a673c80df5f90f4300d6c969418a0e50,https://www.nitrotype.com/racer/a673c80df5f90f4300d6c969418a0e50,Chiefperice,Ace Accelerator,259,0,53.51342853399712,298,34249.054225502165,90.66952613179001,OVCR
591e70f5d534d37fc0c3775d1b1e2600,https://www.nitrotype.com/racer/591e70f5d534d37fc0c3775d1b1e2600,sabrina carpenter,Novice Navigator,86,140,29.10989395175387,345,34239.52489662869,86.63528055342044,KBSM
fig113,https://www.nitrotype.com/racer/fig113,fig113,Crazy About Typing,303,120,19.06677283585485,353,34150.46005498308,88.32331042382589,ALFJ
s9244516,https://www.nitrotype.com/racer/s9244516,H5G9EN3,Ace Accelerator,316,0,41.11193633952254,307,34096.477843942455,92.12604521523691,C0NQUE
6702d99c9a4a2357b6fa073ed24d6ab0,https://www.nitrotype.com/racer/6702d99c9a4a2357b6fa073ed24d6ab0,Michael Kaiser,Pro Pacer,268,0,55.66839378238342,304,34052.587444099234,87.62529354487657,RFTP
0ecfa6b5c2bf88c020053818968256c7,https://www.nitrotype.com/racer/0ecfa6b5c2bf88c020053818968256c7,I got 10 Tats,Original Gangster,262,0,56.8020143122184,290,34039.01029821021,91.4135334135894,FERARI
2fed1681c9f2939175ef5415f88061d3,https://www.nitrotype.com/racer/2fed1681c9f2939175ef5415f88061d3,OperatorKilo,Great Scott!,310,0,107.61433087460485,226,34037.477818790634,97.9202162035133,ZTAGZ
816677,https://www.nitrotype.com/racer/816677,816677,Lucky Number 7,239,0,27.055620381174638,312,33986.740238189974,95.95169637722829,LE4GUE
yourebad0987,https://www.nitrotype.com/racer/yourebad0987,ChickenJockey11,I Love Dogs,331,40,41.79382644146767,333,33918.267857330684,84.25083612040135,PIGFLY
905a20d5a021fe0686753310261626d6,https://www.nitrotype.com/racer/905a20d5a021fe0686753310261626d6,Elibuildworld7,Pro Pacer,162,0,22.94265734265734,327,33908.421414868964,93.02434946180375,ON
destroyer8557,https://www.nitrotype.com/racer/destroyer8557,Knewish,Heri za Kwanzaa!,80,140,70.0379190050053,261,33903.7975788124,96.20841995841995,FVRSMR
aim_12,https://www.nitrotype.com/racer/aim_12,CR0W of the gas,404 Not Found,249,340,60.623240969099086,273,33890.45893638009,95.26462395543176,ZER0SE
9bb57b566b76910e1b1e1559724f3a97,https://www.nitrotype.com/racer/9bb57b566b76910e1b1e1559724f3a97,RLtryhard,Turboducken,343,0,60.56955530216648,283,33865.8048861116,91.85045039957078,NVSEAL
943d96ee2bb0e24f3970258983b033b7,https://www.nitrotype.com/racer/943d96ee2bb0e24f3970258983b033b7,logan me,Novice Navigator,268,0,12.60206393153788,370,33797.90228767356,85.93113365822481,OER
0ac5607477556871240c7bfedd6687ef,https://www.nitrotype.com/racer/0ac5607477556871240c7bfedd6687ef,AAwastaken,Lucky Number 7,310,0,175.44220665499122,180,33789.79859894921,100.0,AL3
lucadagoat1,https://www.nitrotype.com/racer/lucadagoat1,lucadagoat1,Pro Pacer,304,340,37.54365904365904,304,33773.305919310405,93.53766924163136,F0J
rharris5,https://www.nitrotype.com/racer/rharris5,Droidekanation,A E S T H E T I C,207,40,108.61750663129975,223,33752.02662797075,98.08541398038525,FASZ
68b57beaa2c80bd62a31c5e1dfb16d79,https://www.nitrotype.com/racer/68b57beaa2c80bd62a31c5e1dfb16d79,Handsom3,404 Not Found,330,0,87.74410994764399,242,33738.037132141,96.90094202412118,KBSM
01a2697c552087090e0e21f74deb9e4c,https://www.nitrotype.com/racer/01a2697c552087090e0e21f74deb9e4c,StrongBluePenguin,Spring-a-round,272,0,44.98656834342903,304,33707.61838013085,90.51951245214093,ESTER
swang31,https://www.nitrotype.com/racer/swang31,legend300IQForbidden,Nitro Rich,316,280,48.90495121069751,325,33706.27734219472,83.33431865208395,LSH
9e4f2232a778b2672426e1a5d83ecaf8,https://www.nitrotype.com/racer/9e4f2232a778b2672426e1a5d83ecaf8,__F_R_O_S_T_Y_______,Box Collector,249,40,44.309333333333335,305,33697.76665061788,90.44638558360273,FTHM
6ef5172429515a5a8540eccd9c7a0ac1,https://www.nitrotype.com/racer/6ef5172429515a5a8540eccd9c7a0ac1,Chargersdagoat,Pro Pacer,207,220,55.20268569030633,285,33696.98605370816,92.6597135646304,SPDLM
19c6c1bf6726c584a2a34fc609175cfa,https://www.nitrotype.com/racer/19c6c1bf6726c584a2a34fc609175cfa,Anderzilla,I Love Cats,331,300,100.11133603238866,234,33695.15727216129,95.9619856435143,TCHR
